id,route_id,service_id,trip_id
162,50T0001R1  ,5033J,5033J25741R1
163,50T0001R1  ,5033J,5033J25743R1
164,50T0001R1  ,5033J,5033J25745R1
165,50T0001R1  ,5033J,5033J25747R1
166,50T0001R1  ,5033J,5033J25749R1
167,50T0001R1  ,5033J,5033J25751R1
168,50T0001R1  ,5033J,5033J25753R1
169,50T0001R1  ,5033J,5033J25755R1
170,50T0001R1  ,5033J,5033J25757R1
171,50T0001R1  ,5033J,5033J25759R1
172,50T0001R1  ,5033J,5033J25761R1
173,50T0001R1  ,5033J,5033J25763R1
174,50T0001R1  ,5033J,5033J25765R1
175,50T0001R1  ,5033J,5033J25767R1
176,50T0001R1  ,5033J,5033J25769R1
177,50T0001R1  ,5033J,5033J25771R1
178,50T0001R1  ,5033J,5033J25773R1
179,50T0001R1  ,5033J,5033J25775R1
180,50T0001R1  ,5033J,5033J25777R1
181,50T0001R1  ,5033J,5033J25779R1
182,50T0001R1  ,5033J,5033J25781R1
183,50T0001R1  ,5033J,5033J28858R1
184,50T0001R1  ,5033J,5033J28860R1
185,50T0001R1  ,5033J,5033J28862R1
186,50T0001R1  ,5033J,5033J28864R1
187,50T0001R1  ,5033J,5033J28866R1
188,50T0001R1  ,5033J,5033J28868R1
189,50T0001R1  ,5033J,5033J28870R1
190,50T0001R1  ,5033J,5033J28872R1
191,50T0001R1  ,5033J,5033J28874R1
192,50T0001R1  ,5033J,5033J28876R1
193,50T0001R1  ,5033J,5033J28878R1
194,50T0001R1  ,5033J,5033J28880R1
195,50T0001R1  ,5033J,5033J28882R1
196,50T0001R1  ,5033J,5033J28884R1
197,50T0001R1  ,5033J,5033J28886R1
198,50T0001R1  ,5033J,5033J28888R1
199,50T0001R1  ,5033J,5033J28890R1
200,50T0001R1  ,5033J,5033J28892R1
201,50T0001R1  ,5033J,5033J28894R1
202,50T0001R1  ,5033J,5033J28896R1
203,50T0001R1  ,5033J,5033J28898R1
204,50T0001R1  ,5033J,5033J28900R1
205,50T0001R1  ,5033J,5033J28902R1
206,50T0001R1  ,5033J,5033J28904R1
207,50T0001R1  ,5033J,5033J28906R1
208,50T0001R1  ,5033J,5033J28908R1
209,50T0001R1  ,5033J,5033J28910R1
210,50T0001R1  ,5033J,5033J28912R1
