id,stop_id,stop_name,stop_lat,stop_lon                                                                                                                   
197,79404,Badalona,41.445802 ,2.249257                                                                                                                    
198,79405,Montgat,41.466119 ,2.280042                                                                                                                     
199,79406,Montgat-Nord (p),41.471542 ,2.293911                                                                                                            
200,79407,El Masnou,41.477702 ,2.314362                                                                                                                   
201,79408,Ocata (apd),41.483293 ,2.337839                                                                                                                 
202,79409,Premia De Mar Apeadero,41.488348 ,2.357075                                                                                                      
203,79410,Vilassar De Mar,41.501746 ,2.392842                                                                                                             
204,79412,Cabrera Ma,41.504169 ,2.387135                                                                                                                  
205,79500,Mataro,41.533245 ,2.445797                                                                                                                      
206,79501,Sant Andreu De Llavaneres (apt),41.55596  ,2.50184                                                                                              
207,79502,Caldes D'estrac,41.569216 ,2.527982                                                                                                             
208,79600,Arenys De Mar,41.578795 ,2.552336                                                                                                               
209,79601,Canet De Mar,41.587123 ,2.583146                                                                                                                
210,79602,Sant Pol De Mar,41.600184 ,2.627001                                                                                                             
211,79603,Calella,41.614691 ,2.666203                                                                                                                     
212,79604,Pineda De Mar,41.622203 ,2.693515                                                                                                               
213,79605,Malgrat Del Mar,41.642728 ,2.744502                                                                                                             
214,79606,Blanes,41.672594 ,2.769389                                                                                                                      
215,79607,Tordera,41.70643  ,2.721235                                                                                                                     
216,79608,Sta.susann,41.629763 ,2.714036                                                                                                                  
